CODIGO;COD_PROV;COD_FAB;TIPO;MARCA;PRESENT;DETALLE;ID_PROV;PROVE;STOCK;MINIMO;PTOPEDIR;STKCONS;C_ADQ_ANT;LISTA_ANT;PCIO_ANT;CTO_ADQ;FEC_ADQ;CTO_REP;FEC_ACT;LISTA;MG_RUBRO;MARGEN;PRECIO;ALIC_IVA;PCIOT;COD_ANT;VTO;FACTURA;CREDEN;MONEDA;COTIZ;DTOMAX;DTOEFE;DTOTAR;DTOTARC;STKSUC1;STKSUC2;STKSUC3;ID_MARCA;ID_RUBRO;ID_FLIA;ID_SFLIA;SUBPROD;CODIVA;STKINI;ID_MI;STKINI1
6529;22767;;;VENADO;;CUCHILLO VENADO MICARTA 14CM M.L.ESTEPA AC.AN-58 (22767);1217;BOWIE SRL;0;1;1;0;24.22;0;48.76;24.22;2025-05-23;24.22;2025-05-23;24.22;30;101.3225;48.7603;0.21;59;A5299;;0;0;USD;1050;20;0;0;0;0;0;0;227;6;20;69;0;5;0;0;0
6550;15273;;;RUGER;;"PIST RUGER C.9MM M.MAX9 PAV 4"" C/2CARG 10T/12T (15273)";1217;BOWIE SRL;1;1;1;0;595;0;867.77;595;2025-06-14;595;2025-06-14;595;30;45.8435;867.7686;0.21;1050;A3067;;0;1;USD;1050;6;0;0;0;0;0;0;187;2;39;72;1;5;0;0;0
6551;15313;;;RUGER;;"REV RUGER C.357 6"" M.GP100 INOX 6T ALZ REG (15313)";1217;BOWIE SRL;0;1;1;0;1300;0;1818.18;1300;2025-06-14;1300;2025-06-14;1300;30;39.8601;1818.1818;0.21;2200;A2408;;0;1;USD;1050;6;0;0;0;0;0;0;187;2;44;29;1;5;0;0;0
6552;15288;;;RUGER;;"REV RUGER C.38SPL 1.88"" M.LCRX+P PAV 5T (15288)";1217;BOWIE SRL;0;1;1;0;900;0;1280.99;900;2025-06-14;900;2025-06-14;900;30;42.3324;1280.9917;0.21;1550;A2408;;0;1;USD;1050;6;0;0;0;0;0;0;187;2;44;29;1;5;-1;0;0
6553;15389;;;RUGER;;"REV RUGER C.22LR/22MG 6,5"" M.SINGLE-SIX 6T (15389)";1217;BOWIE SRL;0;1;1;0;1120;0;1570.25;1120;2025-06-14;1120;2025-06-14;1120;30;40.2007;1570.2479;0.21;1900;A2408;;0;1;USD;1050;6;0;0;0;0;0;0;187;2;44;29;1;5;0;0;0
6554;15361;;;RUGER;;"REV RUGER C.44MG 7,5"" M.SUPER BLACKHAWK 6T (15361)";1217;BOWIE SRL;0;1;1;0;1071;0;1528.93;1071;2025-06-14;1071;2025-06-14;1071;30;42.7568;1528.9256;0.21;1850;A2408;;0;1;USD;1050;6;0;0;0;1;0;0;187;2;44;29;1;5;0;0;0
6555;15341;;;RUGER;;"REV RUGER C.45COLT 5,5"" M.VAQUERO PAVON 6T (15341)";1217;BOWIE SRL;1;1;1;0;1210.5;0;1694.21;1210.5;2025-06-14;1210.5;2025-06-14;1210.5;30;39.9599;1694.2149;0.21;2050;A2408;;0;1;USD;1050;6;0;0;0;0;0;0;187;2;44;29;1;5;0;0;0
6556;15225;;;RUGER;;"PIST RUGER C.9MM M.RXM PAV 4"" C/2CARG 15T  OREADY (15225)";1217;BOWIE SRL;1;1;1;0;761.66;0;1066.12;761.66;2025-06-14;761.66;2025-06-14;761.66;30;39.9727;1066.1157;0.21;1290;A3067;;0;1;USD;1050;6;0;0;0;0;0;0;187;2;39;72;1;5;1;0;0
6636;24905;;;MEOPTA;;MIRA MEOPTA 4-20X50 M.MEOHUNTER R5 R-4C SPF C/PUNTO ILUM 30MM (24905)1080188;1217;BOWIE SRL;0;1;1;0;709.37;770;1115.7;709.37;2025-10-23;709.37;2025-10-23;709.37;30;57.2808;1115.7025;0.21;1350;A4790;;0;0;USD;1050;10;0;0;0;0;0;0;143;11;36;44;0;5;0;0;0
6637;24917;;;MEOPTA;;MIRA MEOPTA 3-15X50 M.MEOHUNTER R5 R-4C SPF C/PUNTO ILUM 30MM (24917)1080180;1217;BOWIE SRL;0;1;1;0;720;735;1123.97;720;2025-10-31;720;2025-10-31;720;30;61.8458;1165.29;0.21;1410;A4790;;0;0;USD;1050;20;0;0;0;0;0;0;143;11;36;44;0;5;0;0;0
6639;15027;;;RUGER;;"CARABINA RUGER C.17HMR M.PRECISION SINT PAV 18"" 15T (15027)";1217;BOWIE SRL;0;1;1;0;657;0;925.62;657;2025-07-04;657;2025-07-04;657;30;40.8896;925.6446;0.21;1120.03;A5373;;0;1;USD;1050;6;0;0;0;0;0;0;187;2;13;73;1;5;0;0;0
6640;15126;;;RUGER;;"CARABINA RUGER C.22MG M.AMERICAN SINT PAV 18"" (15126)";1217;BOWIE SRL;0;1;1;0;645;645;900.8264;645;2025-07-18;645;2025-07-18;645;30;39.663;900.8264;0.21;1090;15125;;0;1;USD;1050;6;0;0;0;-1;0;0;187;2;13;65;1;5;-1;0;0
6641;17001;;;SPRINGFIELD;;PIST SPRINGFIELD C.9MM M.EC9459B-3D (17001);1217;BOWIE SRL;0;1;1;0;1024.65;0;1446.28;1024.65;2025-07-24;1024.65;2025-07-24;1024.65;30;41.1504;1446.2975;0.21;1750.02;A3067;;0;1;USD;1050;6;0;0;0;0;0;0;264;2;39;72;1;5;0;0;0
6642;17001;;;SPRINGFIELD;;"PIST SPRINGFIELD C.9MM M.PX9419S 5"" (17001)";1217;BOWIE SRL;0;1;1;0;1354.49;0;1900.83;1354.49;2025-07-24;1354.49;2025-07-24;1354.49;30;40.3401;1900.8926;0.21;2300.08;A3067;;0;1;USD;1050;6;0;0;0;1;0;0;264;2;39;72;1;5;0;0;0
6706;26531/2/3/4/5;;;BAMBOO;;VASO BAMBOO TERMICO CAMPER 450CM COL VAR (26531/2/3/4/5);1217;BOWIE SRL;0;1;1;0;0;0;0;5.58;2023-11-21;5.58;2025-07-10;0;30;166.6667;14.88;0.21;18;A3956;;0;0;USD;1;20;0;0;0;0;0;0;265;5;48;79;0;5;0;0;0
6707;20248;;;BROWNING;;PISTOLA T4E M.TP50 GEN 2 C.50 6TIROS  (20248);1217;BOWIE SRL;0;1;1;0;55.55;0;111.1;107;2024-05-21;107;2025-07-10;55.55;30;50.6168;161.16;0.21;195;A3351;;0;0;USD;1;20;0;0;0;0;0;0;36;7;39;67;0;5;0;0;0
6708;20248;;;BROWNING;;KIT PISTOLA T4E M.TP50 GEN 2 C.50 6TIROS  (20248) +GARRAFA+ PELLET X 100;1217;BOWIE SRL;-1;1;1;0;107;55.55;181.82;101.88;2025-07-16;101.88;2025-12-29;133762.5;30;78.4649;181.82;0.21;220;A3351;;0;0;USD;1;20;0;0;0;0;0;0;36;7;39;67;0;5;-1;0;0
